"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000005513.10",541.720913145504,5.14827517803261,0.133721360446253,38.5000209454335,0,0,"SOX8"
"ENSG00000054598.9",2230.85526067945,4.00942034958125,0.0833977750827464,48.0758670792253,0,0,"FOXC1"
"ENSG00000074410.14",27205.2144696157,-4.57675931056889,0.0922428140318313,-49.6164320072622,0,0,"CA12"
"ENSG00000082175.15",9671.1700642396,-6.53065796479554,0.145715704667361,-44.8178045029784,0,0,"PGR"
"ENSG00000091831.24",30840.3044828029,-5.71238130173883,0.111364878658247,-51.2942803023997,0,0,"ESR1"
"ENSG00000092068.20",8679.90347030425,-3.02874822052311,0.0725130796705472,-41.7683021364392,0,0,"SLC7A8"
"ENSG00000100219.16",108009.379232399,-3.08864734647542,0.065074832471595,-47.4630088033436,0,0,"XBP1"
"ENSG00000106541.12",34357.2106021735,-5.51212077476173,0.141971800779496,-38.8254621304896,0,0,"AGR2"
"ENSG00000107485.18",33691.6862453828,-3.65769867769382,0.0842248000108071,-43.4278107781139,0,0,"GATA3"
"ENSG00000109436.8",26701.711402696,-3.80846252590249,0.0786601984645214,-48.416640184556,0,0,"TBC1D9"
"ENSG00000114547.10",438.137860019572,5.56431256531633,0.13693829205248,40.6337225469694,0,0,"ROPN1B"
"ENSG00000115648.14",20252.0093946601,-4.60220979508773,0.0870512526742824,-52.8678181382146,0,0,"MLPH"
"ENSG00000120262.10",1519.10100389867,-4.10154776025064,0.084859361597879,-48.3334741508727,0,0,"CCDC170"
"ENSG00000129514.8",16655.8609920965,-4.62384778130287,0.10125272832742,-45.6664018608051,0,0,"FOXA1"
"ENSG00000134830.6",1322.23373817598,-3.61479177395807,0.078051027888549,-46.3131860238883,0,0,"C5AR2"
"ENSG00000135069.14",1176.45187931449,4.5260566167821,0.109415002739248,41.3659599092492,0,0,"PSAT1"
"ENSG00000135912.11",2211.34242986688,2.01848663230414,0.0515967030363357,39.120457578126,0,0,"TTLL4"
"ENSG00000139865.16",1068.39768516862,-4.94084210546844,0.119306206777674,-41.4131187212719,0,0,"TTC6"
"ENSG00000143412.10",2402.30276635991,-2.87467639352869,0.0727458398763462,-39.516711861669,0,0,"ANXA9"
"ENSG00000143452.16",311.60650669051,6.76072624609702,0.175391251447153,38.5465420328225,0,0,"HORMAD1"
"ENSG00000150667.8",1017.13901609024,-5.62947910996994,0.119252368292703,-47.2064344764412,0,0,"FSIP1"
"ENSG00000154548.9",118.352561880671,3.53378641091288,0.0864228783427796,40.8894783265237,0,0,"SRSF12"
"ENSG00000156219.17",607.80647538093,7.32332489569374,0.16972216157462,43.1489018743963,0,0,"ART3"
"ENSG00000160180.15",15209.9505218253,-6.35320826101319,0.163681924935553,-38.8143545080782,0,0,"TFF3"
"ENSG00000160182.3",13173.2965943777,-8.62468623548661,0.198108005595563,-43.5352736481224,0,0,"TFF1"
"ENSG00000163064.7",1229.35186827439,5.06076248920204,0.11891864138434,42.5565111599775,0,0,"EN1"
"ENSG00000163879.11",2478.75816072416,-4.03650985402393,0.0943689387628449,-42.7737124835952,0,0,"DNALI1"
"ENSG00000166535.20",1164.32583054772,6.54212134560155,0.155555397475081,42.0565371037643,0,0,"A2ML1"
"ENSG00000167614.14",961.774936983166,5.13640283851635,0.128612818426172,39.9369433107074,0,0,"TTYH1"
"ENSG00000168350.8",4746.30338072849,-4.20511620702097,0.103603826516692,-40.588425624834,0,0,"DEGS2"
